epoch,parameter1,parameter2
904,-1.99846,0.000563876
905,-1.9984615,0.00057291356
906,-1.9984573,0.00056204136
907,-1.9984576,0.0005439523
908,-1.9984574,0.0005502042
909,-1.9984565,0.0005490147
910,-1.9984541,0.0005742036
911,-1.9984542,0.0005478033
912,-1.9984517,0.00056349696
913,-1.99845,0.0005589697
914,-1.9984496,0.0005733754
915,-1.9984466,0.0005819841
916,-1.9984457,0.0005666111
917,-1.9984454,0.0005752928
918,-1.998447,0.00058295607
919,-1.9984466,0.0005654345
920,-1.9984468,0.0005623609
921,-1.9984462,0.00058657065
922,-1.9984434,0.00055203633
923,-1.9984437,0.00053906254
924,-1.9984406,0.00054167374
925,-1.9984392,0.00055818877
926,-1.9984381,0.00056027534
927,-1.9984354,0.0005768965
928,-1.9984353,0.0005679305
929,-1.9984335,0.000562691
930,-1.9984368,0.0005528086
931,-1.998435,0.00054491905
932,-1.9984313,0.0005634034
933,-1.99843,0.0005580353
934,-1.9984317,0.0005457769
935,-1.9984314,0.00055397185
936,-1.9984318,0.0005659622
937,-1.9984279,0.00055831356
938,-1.998421,0.0005529519
939,-1.9984239,0.00052807876
940,-1.9984245,0.00051124895
941,-1.9984213,0.00052046863
942,-1.998421,0.0005131406
943,-1.9984221,0.00052686146
944,-1.9984193,0.0005353466
945,-1.9984217,0.00053749466
946,-1.9984215,0.00055753475
947,-1.9984204,0.0005361672
948,-1.9984146,0.0005510797
949,-1.9984195,0.0005634988
950,-1.9984148,0.00056082656
951,-1.9984134,0.00053072174
952,-1.9984148,0.0004964313
953,-1.9984146,0.0005170182
954,-1.9984109,0.0005171393
955,-1.9984125,0.0005259294
956,-1.9984107,0.00050839485
957,-1.9984086,0.00050580717
958,-1.9984074,0.00049244444
959,-1.998407,0.00051243167
960,-1.998404,0.00049255125
961,-1.9984028,0.0004978355
962,-1.9984015,0.0005102244
963,-1.9984033,0.0005060322
964,-1.9984038,0.0005205098
965,-1.9984007,0.0004705611
966,-1.9983997,0.0004680627
967,-1.9984001,0.00049923727
968,-1.9983988,0.00050709635
969,-1.9983978,0.00050066155
970,-1.9983982,0.0005067375
971,-1.9983977,0.0005045794
972,-1.9983971,0.0005158281
973,-1.9983969,0.0005186247
974,-1.9983962,0.00051052024
975,-1.9983959,0.0004981956
976,-1.9983965,0.0005014599
977,-1.9983965,0.00052015856
978,-1.9983953,0.0005063949
979,-1.9983946,0.00051385036
980,-1.9983944,0.00052089535
981,-1.9983926,0.00051922956
982,-1.9983932,0.0005133352
983,-1.9983934,0.0005106897
984,-1.9983956,0.0005080915
985,-1.9983945,0.0005137216
986,-1.9983921,0.0005126687
987,-1.9983947,0.0005226387
988,-1.9983925,0.00050581497
989,-1.9983921,0.0005206983
990,-1.9983913,0.0005197866
991,-1.9983935,0.0005205131
992,-1.9983912,0.0004972073
993,-1.998389,0.00050888915
994,-1.9983904,0.0005124706
995,-1.998389,0.0004985131
996,-1.9983889,0.00052188366
997,-1.9983886,0.0005122784
998,-1.9983847,0.00051152526
999,-1.998386,0.00050778396
