epoch,IC_loss,ODE_loss,Data_loss
0,0.8303704,0.19230923,0.56323683
1,0.4748971,0.15514442,0.4661414
2,0.17138566,0.15432498,0.4768693
3,0.026106168,0.18335764,0.48540092
4,0.014244649,0.17330074,0.46904403
5,0.028405622,0.15158941,0.45966777
6,0.026893502,0.14447299,0.45086893
7,0.019751657,0.14550216,0.44233227
8,0.018996099,0.1356044,0.43944168
9,0.01957401,0.13146482,0.4340694
10,0.018158112,0.13308363,0.42828932
11,0.017499883,0.124113224,0.42680535
12,0.01635652,0.12143834,0.4222291
13,0.015865764,0.115450755,0.42244142
14,0.014753764,0.11563806,0.4241984
15,0.014963877,0.11795215,0.4184948
16,0.013693427,0.10801424,0.4235111
17,0.013976027,0.10108055,0.42098063
18,0.013029535,0.09931488,0.41897306
19,0.013680364,0.09737885,0.4126746
20,0.012809239,0.09182602,0.4129936
21,0.012689976,0.0904326,0.41220698
22,0.0122460285,0.09104776,0.41943312
23,0.013100127,0.088774085,0.41235408
24,0.011362644,0.08206746,0.4120838
25,0.012069042,0.08158628,0.41110045
26,0.011674565,0.082439974,0.40649623
27,0.010781587,0.0801303,0.4094017
28,0.011549659,0.07797474,0.40550512
29,0.010588622,0.07464245,0.4078986
30,0.009988638,0.074542895,0.40608755
31,0.011149584,0.0712219,0.399846
32,0.011079874,0.07152483,0.39937258
33,0.00959892,0.06984009,0.39775544
34,0.009664142,0.06575446,0.40082106
35,0.010092578,0.065678164,0.39613333
36,0.0099606505,0.0642864,0.3964361
37,0.009284837,0.06250518,0.3988034
38,0.009582528,0.063262925,0.39255297
39,0.009783651,0.060970463,0.39480922
40,0.008984679,0.060689867,0.39456505
41,0.009301192,0.058456518,0.39288503
42,0.008863078,0.0608085,0.3887766
43,0.008565141,0.05798434,0.38852367
44,0.009164119,0.057412434,0.38800257
45,0.008627689,0.058600236,0.38699564
46,0.008181775,0.05481877,0.38646394
47,0.008615545,0.057339,0.38368535
48,0.008940501,0.057192437,0.38817123
49,0.0076838927,0.056330144,0.38282326
50,0.008108276,0.053188335,0.38113865
51,0.008289097,0.052169442,0.38303962
52,0.007992277,0.051950105,0.380544
53,0.0077795675,0.05173213,0.37888023
54,0.008716454,0.05232013,0.37594548
55,0.0073041767,0.049430754,0.37959862
56,0.007228671,0.04934112,0.37828714
57,0.008244035,0.051063903,0.37465414
58,0.007169525,0.050282557,0.37723947
59,0.007362156,0.05078555,0.37579182
60,0.008230011,0.049971815,0.37353173
61,0.007145714,0.051851492,0.37119222
62,0.007606818,0.051361214,0.3726468
63,0.006767001,0.047715496,0.37529877
64,0.0078081116,0.04934753,0.37073848
65,0.0070393,0.04895572,0.36791062
66,0.0073662535,0.048199754,0.36784774
67,0.006989165,0.048186105,0.37175426
68,0.0072408556,0.049473934,0.36569625
69,0.006766887,0.048571866,0.36707738
70,0.0077578845,0.04872189,0.36302567
71,0.005601728,0.048533022,0.36669984
72,0.007920725,0.049679626,0.3646587
73,0.0068827854,0.04872815,0.36377817
74,0.00587993,0.049119778,0.3619158
75,0.007583639,0.047773033,0.36273637
76,0.006247335,0.047743775,0.36477733
77,0.0071292445,0.049761433,0.36666253
78,0.0064312206,0.049183168,0.36211553
79,0.006888245,0.050821166,0.3577518
80,0.006461373,0.049320538,0.36216033
81,0.006767982,0.050201844,0.3596837
82,0.00694166,0.05068157,0.35872936
83,0.0059620156,0.04893188,0.36208776
84,0.0071816063,0.049659986,0.3604813
85,0.005842244,0.052699644,0.35456818
86,0.00716616,0.05256018,0.35111696
87,0.0056129163,0.05004213,0.35268846
88,0.0074640876,0.04881654,0.35508746
89,0.0063528433,0.05452173,0.3472336
90,0.005853881,0.054745115,0.36027384
91,0.006854144,0.054478325,0.35359606
92,0.006475178,0.052818995,0.34998542
93,0.0058558914,0.05283133,0.34932348
94,0.006676848,0.05199798,0.34898737
95,0.0067866384,0.058599196,0.34494042
96,0.0066830637,0.053527765,0.3520699
97,0.0062001734,0.060699534,0.34000683
98,0.0065070437,0.056521315,0.33787373
99,0.0058126873,0.05311487,0.35344538
100,0.008179431,0.055527188,0.33887014
101,0.005200778,0.055464555,0.33487365
