epoch,parameter1,parameter2,parameter3,parameter4,parameter5,parameter6,parameter7,parameter8,parameter9,parameter10,parameter11,parameter12,parameter13
34,1.2936666,1.3635919,0.58515435,0.68765223,0.42938742,0.55429876,0.8760887,1.2203068,1.4410976,0.7650087,0.5304393,1.5234861,0.36740473
35,1.2943059,1.3647987,0.5785296,0.69233525,0.42124322,0.5473613,0.8922193,1.2199553,1.4589351,0.7657533,0.52269447,1.5338196,0.35271344
36,1.295015,1.3657415,0.571721,0.69749564,0.41317642,0.54068863,0.9089522,1.2197038,1.4789726,0.7634719,0.51513076,1.5440053,0.33811027
37,1.2949873,1.365986,0.565028,0.70341843,0.405562,0.53425384,0.92628086,1.2190901,1.4983542,0.76256204,0.5078659,1.5536262,0.32420698
38,1.2952008,1.3660879,0.55966014,0.70875984,0.39781347,0.5277404,0.9438882,1.2190201,1.5179282,0.7616864,0.5009502,1.5627222,0.31117028
39,1.2955196,1.3659785,0.5537209,0.71482986,0.39013863,0.5212221,0.9618365,1.2188833,1.5387392,0.7591536,0.4941242,1.5714378,0.29857576
40,1.2947668,1.3650147,0.549145,0.72060955,0.3830415,0.5151696,0.9799133,1.2184561,1.5583098,0.7592147,0.48783836,1.579367,0.2872915
41,1.2948251,1.3643606,0.5463044,0.72512645,0.37552416,0.50874674,0.9982942,1.2191312,1.5778191,0.75966656,0.48187205,1.5869113,0.2766287
42,1.2947357,1.3635777,0.54221106,0.7308855,0.36824176,0.50254333,1.0162174,1.219513,1.5981643,0.75804347,0.47591317,1.5942093,0.26614615
43,1.2945467,1.3624597,0.53755337,0.7374218,0.36109948,0.49620724,1.0343179,1.2197903,1.6179721,0.7576639,0.47005752,1.601223,0.25605088
44,1.2939843,1.360775,0.534884,0.7422693,0.35417923,0.49034268,1.0528308,1.2201389,1.6387286,0.75543755,0.46492893,1.6073711,0.24759643
45,1.293624,1.3592273,0.53262645,0.74661976,0.34727296,0.4843251,1.0710051,1.2209729,1.6580471,0.75614065,0.46009168,1.6130157,0.23998237
46,1.2929322,1.3575705,0.5300652,0.7510942,0.34068474,0.47861955,1.0893694,1.2218093,1.6784209,0.7549086,0.45578772,1.618073,0.23340712
47,1.2922955,1.3556591,0.52829474,0.7548825,0.3341312,0.4728817,1.107034,1.2230097,1.6976336,0.7557261,0.45158425,1.6229192,0.22731136
48,1.2922102,1.353944,0.52591544,0.7586863,0.32738906,0.4669501,1.1251693,1.2246418,1.7174797,0.75521225,0.4475065,1.6277255,0.22112596
49,1.2916944,1.351863,0.523018,0.76311177,0.3209681,0.46127096,1.1428505,1.2260512,1.7370898,0.75440747,0.44351488,1.6322626,0.21531707
50,1.2911246,1.349666,0.5209242,0.76658416,0.31457835,0.45557714,1.1608692,1.2277,1.7563887,0.75416195,0.43987632,1.6363896,0.2101938
51,1.2904363,1.3474112,0.518652,0.7698289,0.30840057,0.44998026,1.1786361,1.2294111,1.775458,0.75399,0.43640223,1.6402379,0.20561334
52,1.2896769,1.345022,0.51724905,0.7724169,0.30223918,0.44445238,1.1963513,1.2315356,1.7943139,0.7545661,0.4333106,1.6437496,0.2016762
53,1.2894176,1.3430451,0.5147386,0.7754728,0.2958259,0.4386439,1.2140231,1.2341527,1.8133179,0.7550655,0.43004948,1.6475619,0.19705626
54,1.2887151,1.3406163,0.5117875,0.7789259,0.28977993,0.43309408,1.2318473,1.2363348,1.8322762,0.7545569,0.4268868,1.6511031,0.1928147
55,1.2879441,1.3378669,0.5096226,0.7817258,0.28381985,0.42751595,1.2499373,1.2388811,1.8512084,0.75469244,0.42416072,1.6542555,0.18936783
56,1.2871225,1.335277,0.5076606,0.7841529,0.27780426,0.42201126,1.267962,1.2416795,1.8701905,0.7541514,0.42151424,1.6574105,0.18572183
57,1.2857994,1.3326478,0.5052449,0.78675514,0.272066,0.4165427,1.2856988,1.2441496,1.8884829,0.7543471,0.41878027,1.6604515,0.18232317
58,1.2848058,1.3299999,0.50300795,0.78869563,0.26624492,0.41089937,1.3039165,1.2469183,1.9067383,0.755007,0.41624779,1.6633552,0.17925343
59,1.2835975,1.3272817,0.5010393,0.7903158,0.26053166,0.40540737,1.3222051,1.2499139,1.925292,0.7547261,0.41400063,1.6660693,0.176427
60,1.2821665,1.3245841,0.4987696,0.7920957,0.25504914,0.40006813,1.3402203,1.2529004,1.943394,0.75538534,0.41193363,1.6685555,0.1739444
61,1.2808615,1.3219734,0.49650073,0.7936147,0.24947812,0.39464894,1.3581349,1.2560854,1.9614029,0.7554577,0.4096792,1.6713264,0.17092681
62,1.2793754,1.3192667,0.4940475,0.79494506,0.24407499,0.38932088,1.376358,1.2594042,1.9796011,0.75530624,0.4077571,1.6738691,0.16832872
63,1.2781049,1.3165923,0.4916589,0.7963573,0.23853041,0.38390487,1.3948148,1.2628922,1.9971402,0.7567149,0.4057436,1.6765814,0.16512473
64,1.276381,1.3139606,0.48821726,0.7982908,0.23318146,0.37846324,1.4131172,1.2660313,2.0152962,0.75468373,0.4033675,1.6795373,0.16130735
65,1.2743193,1.3107897,0.48680058,0.7989647,0.22818916,0.373331,1.4320264,1.2692325,2.0330136,0.7559341,0.4021261,1.6813437,0.15990467
66,1.2725246,1.3080248,0.4848251,0.7993634,0.22313435,0.36812878,1.4505595,1.2725257,2.050531,0.7565909,0.40063474,1.6835045,0.15778619
67,1.2707114,1.305323,0.48271132,0.7997515,0.21799935,0.36285934,1.4694132,1.275932,2.0679827,0.75671065,0.39905205,1.685825,0.15516876
68,1.2687825,1.302515,0.48050702,0.8003361,0.21298549,0.35768598,1.4880867,1.2795088,2.0848985,0.7578776,0.3974556,1.6882265,0.15224236
69,1.2667131,1.29966,0.4776581,0.8011637,0.20821747,0.3525572,1.5068307,1.2828429,2.1022298,0.75727266,0.39592123,1.6904874,0.14956504
70,1.2646612,1.2965989,0.47612926,0.8011903,0.20348306,0.34748355,1.5258478,1.2863256,2.1189208,0.7592641,0.3948786,1.6923171,0.1476711
71,1.2626721,1.2938356,0.47398672,0.80126923,0.19869952,0.34242234,1.5447024,1.2899425,2.1358106,0.7597369,0.39360172,1.6945325,0.14498362
72,1.2602407,1.2908149,0.47190082,0.8012692,0.1943189,0.33762348,1.5634476,1.2931696,2.1528733,0.7583723,0.39255318,1.6962991,0.14312173
73,1.2580976,1.2875638,0.47138986,0.799917,0.18994921,0.3328606,1.5828673,1.2966558,2.169266,0.7614329,0.39230266,1.6975645,0.14248995
74,1.2559919,1.284713,0.46966282,0.79945886,0.18547516,0.32803905,1.6014444,1.3002223,2.186063,0.7606605,0.39143148,1.6994898,0.14035513
75,1.2538148,1.2817621,0.4679356,0.7985916,0.18110847,0.32336465,1.6205549,1.3037206,2.201907,0.7628056,0.39085215,1.7011312,0.13863349
76,1.2516172,1.2785554,0.46601564,0.79754525,0.17728485,0.31884864,1.6397234,1.3071972,2.2186723,0.7614444,0.3906885,1.7024167,0.13768004
77,1.2495637,1.2754815,0.46480322,0.79617304,0.17309715,0.31420654,1.6588374,1.3106956,2.2345684,0.7632226,0.3903002,1.7040186,0.13611533
78,1.2473924,1.2724612,0.46240807,0.7949967,0.16926484,0.30983138,1.6777698,1.3141834,2.2502306,0.76438713,0.3899691,1.7055209,0.13456425
79,1.2453384,1.2694339,0.4605825,0.79352474,0.16527838,0.30529612,1.6970857,1.3178145,2.2659957,0.76524115,0.3896012,1.7072428,0.13253203
80,1.2432351,1.2663456,0.45798394,0.79269636,0.16152135,0.30080712,1.7160923,1.3214264,2.281228,0.76719177,0.38906646,1.7091187,0.13006824
81,1.241021,1.2632473,0.45608288,0.7912415,0.15779755,0.29636118,1.7353691,1.3251306,2.2971005,0.76693475,0.3886738,1.7109358,0.12789185
82,1.2389262,1.2600393,0.45455852,0.78979826,0.15403439,0.29188523,1.755029,1.3285456,2.312135,0.76957816,0.38832814,1.7126387,0.12575296
83,1.2366124,1.256753,0.45254344,0.7882948,0.15074775,0.2878043,1.7745379,1.3319745,2.3278823,0.76902074,0.38847607,1.7138895,0.12454628
84,1.2343765,1.2533153,0.45150644,0.7858452,0.14757442,0.2837096,1.7941328,1.3354887,2.3429363,0.77124316,0.38895032,1.7148896,0.12392547
85,1.2323891,1.2503211,0.44930962,0.78387064,0.14400114,0.27942282,1.8137972,1.3391542,2.3579967,0.77231145,0.38861382,1.716736,0.121416666
86,1.230232,1.2471466,0.44672522,0.7822941,0.14082831,0.2752475,1.8335999,1.3427424,2.372822,0.7739929,0.38850397,1.7184796,0.11923185
87,1.2278887,1.2436886,0.44436792,0.78002405,0.13816044,0.27149662,1.853233,1.3462305,2.3884044,0.7722222,0.3890182,1.7194527,0.1186151
88,1.2258981,1.2401019,0.44398215,0.77669406,0.13499522,0.26729575,1.8733141,1.3495871,2.4025595,0.77643114,0.3894865,1.7205259,0.1177598
89,1.2235724,1.2369896,0.44163883,0.77438784,0.13221033,0.26347145,1.8928692,1.3533167,2.4172196,0.7768966,0.38967025,1.7219397,0.11606258
90,1.2213519,1.2335093,0.44022107,0.77145684,0.12962106,0.25978932,1.9127265,1.3569703,2.4320772,0.7770851,0.39033684,1.7229706,0.11528605
91,1.2193583,1.230272,0.4381324,0.7691825,0.12679048,0.25577325,1.9324517,1.3604672,2.4459333,0.77991855,0.3904038,1.7245655,0.11316889
92,1.2173784,1.2271357,0.4357039,0.7668717,0.123839274,0.25186658,1.9526545,1.3641759,2.460143,0.78119963,0.39025775,1.7264624,0.11041696
93,1.2151933,1.2238059,0.4327523,0.7646778,0.12155464,0.24830125,1.9728204,1.3678639,2.4744985,0.7818242,0.39052692,1.7280207,0.108402945
94,1.2131221,1.22025,0.4315975,0.7616469,0.11899651,0.24453558,1.9930787,1.3714844,2.4886768,0.7833494,0.3910058,1.7292649,0.106968135
95,1.2110654,1.2167213,0.42987686,0.75856465,0.11677036,0.24106957,2.013524,1.3749446,2.502913,0.7839783,0.39170197,1.730268,0.106047764
96,1.2090063,1.2130766,0.42838356,0.75537324,0.11449966,0.23776667,2.0338786,1.3783218,2.5170388,0.78406125,0.39222077,1.7314601,0.10474677
97,1.2070432,1.2096982,0.42613366,0.75290716,0.11194532,0.23412408,2.0543678,1.3818974,2.5303857,0.7870439,0.3920856,1.7334266,0.10184857
98,1.2050434,1.2063342,0.42304447,0.7505057,0.109855615,0.23079301,2.074834,1.3857838,2.544067,0.7886437,0.39229557,1.7351875,0.09946592
99,1.2031137,1.2027718,0.42145953,0.74718535,0.10784105,0.22740589,2.0955467,1.3892629,2.5583518,0.78824115,0.3930612,1.7363067,0.09837073
100,1.2011597,1.1990929,0.420982,0.743564,0.10575408,0.22420605,2.116087,1.392598,2.5720568,0.78920525,0.39404047,1.7370611,0.097878635
101,1.200261,1.1974143,0.4197994,0.74197847,0.10494236,0.22263919,2.126279,1.3942468,2.5783675,0.79124296,0.39445776,1.7375313,0.09747968
102,1.1993843,1.1955582,0.41904083,0.7400918,0.10406768,0.22118893,2.1366081,1.3959484,2.5853307,0.79077196,0.39506134,1.7378767,0.09741836
103,1.1984936,1.1938863,0.41821975,0.73835784,0.10298372,0.2195469,2.1468232,1.3975772,2.5915809,0.7927736,0.3953272,1.7385323,0.09660131
104,1.1976182,1.1922241,0.41714737,0.73682,0.10196934,0.21800181,2.1570678,1.3993218,2.5983565,0.7929588,0.3955489,1.7393011,0.09564312
105,1.196704,1.1906348,0.4156209,0.7354576,0.101037495,0.21648774,2.1672857,1.4010803,2.604822,0.79404604,0.39579996,1.7400464,0.09465197
106,1.1958034,1.1888193,0.4145032,0.73372126,0.1001977,0.21504733,2.1775043,1.4026842,2.6115103,0.79399496,0.39615875,1.7406263,0.09411129
