p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
1.043362021446228027e+00
8.717629313468933105e-01
2.614080011844635010e-01
4.652603864669799805e-01
3.172617778182029724e-02
1.552473604679107666e-01
4.056720733642578125e+00
1.925627708435058594e+00
3.673140525817871094e+00
9.937475323677062988e-01
5.186304450035095215e-01
1.922757863998413086e+00
-8.599461615085601807e-02
