epoch,IC_loss,ODE_loss,Data_loss
0,1.0,0.072962694,2.5961752
1,0.9610696,0.5302665,1.6898135
2,0.92730355,1.2927891,1.2726687
3,0.8946287,1.6684086,1.1918234
4,0.8634535,1.3443907,1.2626765
5,0.8332536,0.8479502,1.428517
6,0.8034493,0.44799706,1.6527476
7,0.77346754,0.21851888,1.8654286
8,0.7428928,0.121962436,1.9913504
9,0.71166456,0.118886136,1.9909762
10,0.6801518,0.18481626,1.8861634
11,0.64892876,0.32348302,1.7270852
12,0.6186091,0.49581057,1.5669686
13,0.58942235,0.6679811,1.4392221
14,0.56114936,0.82868725,1.356892
15,0.5335536,0.8968629,1.322274
16,0.5065479,0.87249005,1.3265811
17,0.4801786,0.7728359,1.3674084
18,0.45463163,0.6168021,1.4378343
19,0.42990273,0.4835767,1.5231024
20,0.40597102,0.38033625,1.6029135
21,0.3826479,0.32941344,1.653929
22,0.35983557,0.3146703,1.6661164
23,0.33747414,0.3321052,1.6353339
24,0.31557858,0.3972229,1.5699342
25,0.29433832,0.5031154,1.4883641
26,0.27402306,0.58610314,1.4125465
27,0.25461906,0.6973171,1.352727
28,0.23630206,0.7429453,1.3214303
29,0.21900074,0.7364772,1.3191733
30,0.20267448,0.69335073,1.3400022
31,0.1872721,0.61311835,1.3791382
32,0.17270112,0.5239734,1.4262234
33,0.15884763,0.46898335,1.4666047
34,0.14570259,0.448531,1.490037
35,0.13336156,0.44363078,1.4896549
36,0.12184179,0.47198835,1.469704
37,0.11123775,0.4985896,1.4369649
38,0.10147938,0.5356479,1.398615
39,0.09248606,0.57831573,1.3620317
40,0.084168345,0.62853605,1.3340254
41,0.07657149,0.64625823,1.3182461
42,0.06963889,0.6325263,1.3177872
43,0.063336276,0.61242634,1.3313811
44,0.0576725,0.57914263,1.3548054
45,0.052630454,0.51393485,1.3799609
46,0.048007112,0.5009377,1.4016975
47,0.04385424,0.46908933,1.4110963
48,0.04007187,0.4837327,1.4059607
49,0.036727384,0.492302,1.3874184
50,0.033807427,0.5257198,1.3623457
51,0.031324133,0.55593264,1.3373543
52,0.02918389,0.57066745,1.3187157
53,0.027268466,0.58229554,1.3118367
54,0.025507974,0.5755345,1.3138611
55,0.023891224,0.5574271,1.3211464
56,0.022414224,0.5298578,1.332454
57,0.021117557,0.5040795,1.3468188
58,0.0199861,0.4843615,1.3601294
59,0.019046305,0.46560222,1.3649842
60,0.018185008,0.47217268,1.3605958
61,0.01743863,0.48827636,1.3449326
62,0.016853753,0.5154898,1.3243272
63,0.016468031,0.53877115,1.3044139
64,0.01629232,0.5514031,1.2906092
65,0.016196517,0.55227673,1.2834522
66,0.01613048,0.54545397,1.2854173
67,0.01612411,0.52616894,1.2927231
68,0.016129466,0.50459236,1.3004223
69,0.016162738,0.49344176,1.3098631
70,0.016307335,0.47729993,1.3114499
71,0.016524548,0.47867376,1.3101887
72,0.016857373,0.48231342,1.3025986
73,0.017233554,0.49925438,1.2877421
74,0.01764662,0.5162463,1.26757
75,0.01808297,0.53097,1.2547047
76,0.018557066,0.5307512,1.2502708
77,0.019000147,0.52296156,1.2519585
78,0.019371511,0.51350594,1.2542949
79,0.019700758,0.50710714,1.2563816
80,0.020059193,0.4955558,1.2556732
81,0.020428713,0.48906547,1.2577342
82,0.020827373,0.4836235,1.2573348
83,0.021205548,0.48437026,1.2522507
84,0.021530515,0.4916807,1.2440007
85,0.021812543,0.49980715,1.2334106
86,0.02203255,0.5076624,1.2231646
87,0.022193158,0.5117322,1.2171204
88,0.02233399,0.5106813,1.2150581
89,0.022476643,0.49934843,1.2158259
90,0.022526914,0.48922956,1.2188882
91,0.022457499,0.48263857,1.2194221
92,0.022309577,0.48584625,1.2148803
93,0.022187395,0.48941755,1.2077867
94,0.022134833,0.48887843,1.2020098
95,0.022064984,0.48746288,1.2014585
96,0.021944867,0.48821563,1.1974261
97,0.021731,0.4902753,1.1905521
98,0.021441003,0.49497464,1.1842176
99,0.021171171,0.4973786,1.1796631
100,0.020954054,0.49829182,1.17449
101,0.020808093,0.49175757,1.174464
102,0.02067335,0.4835639,1.1767036
103,0.020482972,0.48075816,1.1748369
104,0.020265529,0.48685902,1.1666294
105,0.0200615,0.4940154,1.1560717
106,0.019893656,0.4939182,1.1514401
107,0.0197684,0.4862471,1.1539894
108,0.019578494,0.4767758,1.1564784
109,0.019307427,0.47428802,1.1542679
110,0.018980369,0.4803374,1.1471925
111,0.018679213,0.48605967,1.1385987
112,0.018441517,0.4854189,1.1345803
113,0.018247336,0.48365614,1.1327181
114,0.018068805,0.48425692,1.1298963
115,0.017886069,0.48347956,1.1248775
116,0.017667849,0.4867155,1.1185513
117,0.017450074,0.49080232,1.1136817
118,0.017295381,0.49178672,1.1092472
119,0.017177371,0.48836625,1.1067563
120,0.017082723,0.48283687,1.1066449
121,0.016980432,0.4826769,1.1039925
122,0.016863333,0.48745656,1.0973693
123,0.016777344,0.48721835,1.0902836
124,0.016728053,0.48531774,1.0885835
125,0.016662853,0.47682586,1.090706
126,0.016519425,0.47578356,1.0891609
127,0.016310861,0.47457397,1.0839229
128,0.016103026,0.48307312,1.0758631
129,0.015936479,0.48644626,1.0701486
130,0.015825637,0.4825243,1.0672148
131,0.015741045,0.48102108,1.0656627
132,0.015649753,0.47840372,1.0614818
133,0.015481741,0.48545167,1.0552279
134,0.015297464,0.4865357,1.0489948
135,0.015122167,0.4806838,1.0493975
136,0.014956917,0.46811768,1.0535325
137,0.014772817,0.46414003,1.0538427
138,0.014585349,0.466268,1.0470256
139,0.014447987,0.47108206,1.0388461
140,0.014334753,0.47569734,1.03307
141,0.014259258,0.47922894,1.02821
142,0.014212663,0.47469133,1.0244449
143,0.014132504,0.47937873,1.0185126
144,0.01403778,0.48129007,1.014668
145,0.013969429,0.4738678,1.012521
146,0.013956052,0.46968788,1.0141038
147,0.013980804,0.4648276,1.0127072
148,0.013990773,0.46364158,1.0081396
149,0.014018379,0.4695674,1.0016876
150,0.014033542,0.47353023,0.99479544
151,0.014086043,0.47244442,0.99093413
152,0.0141918715,0.4690462,0.9886172
153,0.014274136,0.47118035,0.98285353
154,0.014309163,0.47163317,0.9803581
155,0.014294891,0.4630542,0.9800377
156,0.014260209,0.46503282,0.9754979
157,0.014256185,0.4775508,0.9664126
158,0.014321814,0.47524357,0.96092385
159,0.014427084,0.46349123,0.9623977
160,0.014468522,0.4611635,0.961547
161,0.0144005595,0.4569679,0.96003264
162,0.014263431,0.45867303,0.9547069
163,0.014176291,0.46618378,0.9469917
164,0.014157699,0.46991524,0.94221514
165,0.014177819,0.4632472,0.9412885
166,0.014176335,0.45923418,0.93809944
167,0.014148988,0.46104974,0.9338782
168,0.014062475,0.460997,0.9287897
169,0.01393228,0.47185427,0.91960263
170,0.013843864,0.4718553,0.917047
171,0.013796279,0.46021575,0.92097837
172,0.01374112,0.4538904,0.9210823
173,0.0136479335,0.45831442,0.914154
174,0.013555709,0.4595077,0.90633804
175,0.013508994,0.46582457,0.90056366
176,0.013482902,0.46251148,0.8989127
177,0.013452802,0.4590928,0.89722764
178,0.013358358,0.45689198,0.8940089
179,0.013226099,0.4609019,0.88808304
180,0.013120893,0.46090692,0.8820839
181,0.013071585,0.45798722,0.88147146
182,0.013013928,0.45761418,0.88012207
183,0.012911284,0.45182773,0.8766356
184,0.012785802,0.46338865,0.86950135
185,0.012642052,0.46600795,0.8623995
186,0.012539426,0.46138728,0.8597188
187,0.012465268,0.4541023,0.8587355
188,0.012391948,0.45561096,0.856897
189,0.012261525,0.4550575,0.8538434
190,0.012086633,0.45473176,0.849772
191,0.0119083095,0.45311326,0.84726936
192,0.011772037,0.44960323,0.84471077
193,0.011681666,0.4461676,0.8416394
194,0.011640325,0.4510178,0.8368457
195,0.011594047,0.45502427,0.8314717
196,0.01151621,0.45117146,0.8285711
197,0.0114014875,0.45067975,0.8228283
198,0.011330895,0.45052487,0.819983
199,0.011296563,0.44850144,0.8188479
200,0.0113044325,0.44632655,0.8188736
201,0.011307789,0.43985063,0.81890535
202,0.011296889,0.43726015,0.8162038
203,0.011297855,0.44326115,0.80815154
204,0.011362322,0.45063913,0.7991643
205,0.011490446,0.44679457,0.79537874
206,0.011648974,0.44512385,0.79520744
207,0.011757927,0.43954915,0.7940934
208,0.011811673,0.4377122,0.7907164
209,0.011839691,0.44364348,0.7851078
210,0.011912513,0.4460618,0.7785353
211,0.012051368,0.446346,0.773665
212,0.012224346,0.44347602,0.77080995
213,0.01235275,0.4440677,0.76932824
214,0.012384629,0.43680227,0.76622653
215,0.0123544065,0.44518933,0.7593132
216,0.012304975,0.4439595,0.75678563
217,0.012288455,0.43358633,0.76065874
218,0.012271956,0.42858395,0.7607932
219,0.0122673195,0.4284611,0.7567165
220,0.0122505985,0.43518344,0.7492681
221,0.01221792,0.4373335,0.7399218
222,0.012187565,0.44532773,0.73271406
223,0.012158924,0.43914157,0.73182607
224,0.012101299,0.43200642,0.73302263
225,0.011983553,0.4339654,0.7292928
226,0.011827145,0.4379239,0.72155714
227,0.011706548,0.4424193,0.71631616
228,0.011637002,0.43783322,0.715483
