epoch,parameter1,parameter2,parameter3,parameter4
123,2.0663016,0.04556703,0.3126664,0.77680844
124,2.0718338,0.043755427,0.3124277,0.763807
125,2.0773034,0.042086955,0.31220314,0.7507037
126,2.082773,0.040405877,0.3119818,0.737666
127,2.0881345,0.03887525,0.31177777,0.7246953
128,2.0935028,0.037347343,0.3115775,0.71166104
129,2.0987966,0.035936512,0.3113917,0.69862556
130,2.1040583,0.034542702,0.31121325,0.6856875
131,2.109278,0.033223044,0.3110441,0.6727092
132,2.114441,0.031963177,0.31088418,0.659817
133,2.119622,0.030655697,0.31072366,0.6469644
134,2.124727,0.02946712,0.3105747,0.6340965
135,2.129812,0.028233172,0.3104302,0.6214323
136,2.1348479,0.027096342,0.31029683,0.60868734
137,2.1398394,0.025986796,0.31016925,0.5960454
138,2.144787,0.024900092,0.31004643,0.583503
139,2.1497169,0.023799052,0.3099254,0.5710383
140,2.1545923,0.022744715,0.30981097,0.5586558
141,2.1594503,0.021677582,0.30969965,0.54635483
142,2.164249,0.020677755,0.30959785,0.5340862
143,2.1689968,0.019713888,0.30950257,0.52189976
144,2.1737163,0.018716006,0.30940825,0.50990087
145,2.1784163,0.017716596,0.3093164,0.4979302
146,2.1830525,0.01674307,0.3092285,0.48614153
147,2.1876607,0.015772728,0.30914453,0.4744135
148,2.1922626,0.0147295045,0.30906114,0.46286395
149,2.1968372,0.013691348,0.30898315,0.4513431
150,2.2013402,0.012701045,0.30891192,0.4399639
151,2.2058167,0.011679313,0.30884275,0.4287427
152,2.2102745,0.010616523,0.3087771,0.41765183
153,2.2146432,0.009664674,0.30872047,0.406593
154,2.218996,0.008662914,0.30866724,0.39566323
155,2.223309,0.007658184,0.3086178,0.3848649
156,2.227602,0.006605628,0.30857152,0.374269
157,2.2318354,0.0056278273,0.30853212,0.3636825
158,2.2360861,0.0045256047,0.30849537,0.35329264
159,2.2402525,0.0034950343,0.3084645,0.34303352
160,2.2443824,0.0024162591,0.3084379,0.33298966
161,2.248489,0.0013387149,0.3084169,0.32298186
162,2.2525187,0.0003306389,0.30840173,0.3131165
163,2.256538,-0.00073305034,0.308392,0.30338338
164,2.260506,-0.0017829136,0.30838802,0.29376873
165,2.2644675,-0.0029045742,0.30839035,0.2843029
166,2.2683291,-0.003907341,0.30839723,0.27492473
167,2.2721536,-0.0049217446,0.30841002,0.26569957
168,2.2759826,-0.0060209036,0.3084304,0.25661373
169,2.2797365,-0.0070481994,0.30845445,0.24761379
170,2.2834485,-0.008056179,0.30848348,0.23870753
171,2.2871363,-0.009104105,0.30852026,0.22996402
172,2.2907917,-0.010162777,0.30856347,0.2213376
173,2.2943861,-0.011184642,0.3086106,0.21284142
174,2.2979581,-0.01223018,0.3086653,0.20446575
175,2.301497,-0.013289376,0.30872685,0.19621381
176,2.3049512,-0.014261421,0.3087895,0.18809465
177,2.3083882,-0.015258947,0.308859,0.18004756
178,2.3118017,-0.01629479,0.3089361,0.17215392
179,2.3151274,-0.01723649,0.3090124,0.16437545
180,2.3184338,-0.01821136,0.3090974,0.15671997
181,2.3217607,-0.0192836,0.30919683,0.1491739
182,2.3249815,-0.020220976,0.30928975,0.14171812
183,2.3281612,-0.021148993,0.30938846,0.13439022
184,2.331336,-0.022126157,0.3094977,0.1271527
185,2.3344347,-0.023035338,0.3096066,0.12007435
186,2.3375266,-0.023988144,0.3097243,0.11308593
187,2.3405442,-0.024868438,0.30983928,0.10622556
188,2.3435407,-0.025748044,0.30995956,0.09943744
189,2.3465316,-0.026688177,0.31009313,0.09278609
190,2.34942,-0.02751203,0.31021628,0.086230025
