t,u1,u2,f1,f2
0.9009009,2.8948638,0.5901151,0.66085815,-0.27113742
0.9109109,2.9004636,0.5934116,0.6614994,-0.27210057
0.9209209,2.9058332,0.59670776,0.66210604,-0.27307367
0.9309309,2.9109764,0.60000247,0.66267836,-0.27405694
0.9409409,2.9158938,0.6032955,0.66321665,-0.2750505
0.950951,2.920588,0.60658604,0.66372097,-0.27605394
0.960961,2.9250622,0.6098738,0.66419214,-0.27706763
0.970971,2.9293168,0.6131586,0.6646296,-0.27809155
0.980981,2.9333553,0.61644006,0.66503453,-0.2791256
0.990991,2.9371789,0.6197175,0.6654069,-0.28016955
1.001001,2.9407904,0.62299085,0.6657464,-0.28122395
1.011011,2.9441912,0.62626034,0.66605407,-0.2822885
1.021021,2.947384,0.62952524,0.6663302,-0.28336328
1.031031,2.9503703,0.63278604,0.6665744,-0.28444827
1.041041,2.9531524,0.6360421,0.66678756,-0.28554356
1.051051,2.955733,0.63929343,0.66696966,-0.28664887
1.061061,2.9581127,0.64254034,0.667121,-0.28776452
1.071071,2.960295,0.6457827,0.667242,-0.28889033
1.081081,2.962281,0.64902043,0.66733265,-0.29002637
1.091091,2.9640732,0.6522532,0.66739345,-0.29117322
1.1011012,2.9656746,0.655482,0.66742474,-0.29232985
1.1111112,2.9670854,0.6587057,0.66742617,-0.2934966
1.1211212,2.9683099,0.66192555,0.66739905,-0.2946735
1.1311312,2.9693484,0.66514057,0.6673429,-0.29586095
1.1411412,2.9702039,0.66835135,0.6672579,-0.29705837
1.1511512,2.9708784,0.67155766,0.66714483,-0.29826558
1.1611612,2.9713743,0.6747603,0.6670034,-0.29948294
1.1711712,2.9716933,0.677958,0.66683435,-0.3007102
1.1811812,2.971838,0.6811521,0.6666379,-0.3019474
1.1911912,2.9718108,0.6843424,0.6664141,-0.30319488
1.2012012,2.9716134,0.687528,0.6661631,-0.30445156
1.2112112,2.9712484,0.69071,0.6658852,-0.3057183
1.2212212,2.970718,0.6938878,0.6655812,-0.30699426
1.2312312,2.9700243,0.6970614,0.6652505,-0.3082798
1.2412412,2.9691696,0.7002313,0.66489387,-0.30957496
1.2512512,2.968156,0.7033969,0.6645115,-0.310879
1.2612612,2.9669857,0.70655835,0.6641033,-0.31219256
1.2712712,2.9656618,0.7097157,0.66366994,-0.31351483
1.2812812,2.9641852,0.7128687,0.6632117,-0.31484646
1.2912912,2.962559,0.716017,0.66272837,-0.31618658
1.3013014,2.9607854,0.7191613,0.6622204,-0.31753528
1.3113114,2.958866,0.72230047,0.66168797,-0.31889266
1.3213214,2.9568038,0.7254349,0.6611315,-0.32025793
1.3313314,2.9546,0.7285645,0.6605506,-0.32163206
1.3413414,2.9522583,0.73168886,0.6599463,-0.32301366
1.3513514,2.9497795,0.73480797,0.6593182,-0.3244033
1.3613614,2.9471653,0.7379213,0.6586664,-0.32580054
1.3713714,2.9444196,0.7410289,0.65799177,-0.32720527
1.3813814,2.941543,0.7441306,0.657294,-0.32861757
1.3913914,2.9385388,0.74722576,0.6565734,-0.33003712
1.4014014,2.9354074,0.7503149,0.65582997,-0.33146328
1.4114114,2.9321525,0.753397,0.6550644,-0.33289653
1.4214214,2.9287746,0.7564721,0.6542759,-0.33433616
1.4314314,2.9252765,0.7595401,0.65346575,-0.3357826
1.4414414,2.9216597,0.7626008,0.65263337,-0.3372352
1.4514514,2.9179263,0.7656536,0.6517789,-0.33869398
1.4614614,2.9140782,0.76869833,0.650903,-0.34015864
1.4714714,2.9101164,0.7717351,0.65000516,-0.34162897
1.4814814,2.9060435,0.7747634,0.6490863,-0.34310508
1.4914914,2.9018612,0.777783,0.64814544,-0.34458643
1.5015016,2.8975704,0.780794,0.6471838,-0.3460731
1.5115116,2.893173,0.78379625,0.6462011,-0.3475651
1.5215216,2.8886702,0.7867892,0.64519715,-0.3490619
1.5315316,2.884064,0.78977317,0.64417243,-0.3505638
